epoch,train_loss,val_loss,selection_metric,h1_rmse,h1_mae,h1_r2,h1_coverage_1sigma,h1_coverage_2sigma,h2_rmse,h2_mae,h2_r2,h2_coverage_1sigma,h2_coverage_2sigma,Jz_rmse,Jz_mae,Jz_r2,Jz_coverage_1sigma,Jz_coverage_2sigma,learning_rate,elapsed_seconds
1,377.33926242404516,361.07029296875,0.9762834778573518,1.1126059492430442,0.9534516143798828,0.0314525347461303,0.625,0.985,1.2111728286960866,1.0653083038330078,-0.10607768698060616,0.595,1.0,0.603947544043198,0.48270517349243164,0.13980042268586335,0.675,0.93,0.0002995391413931026,10.58823190000112
2,362.0639988878038,355.9351159667969,0.939794736710493,1.073986906799409,0.9046239280700683,0.09752303260552742,0.605,0.98,1.1522387399187424,1.0134191513061523,-0.0010559195993247172,0.615,1.0,0.587537009514148,0.5080990600585937,0.18591220718572965,0.56,0.985,0.00029815940691897306,2.9844661000024644
3,356.23590101453993,351.10802368164065,0.9304689746579876,1.0647294652767507,0.8977103805541993,0.113014135000567,0.66,0.975,1.1553206384324184,1.0226476287841797,-0.006418139389655408,0.585,1.0,0.5725356324946721,0.4720594787597656,0.22695312804127266,0.62,0.97,0.00029586930309945264,2.8596517000005406
4,351.32583997938366,346.22110961914063,0.9171472974418786,1.0554627142337598,0.8797159767150879,0.12838650670059015,0.62,0.97,1.1556876139701353,1.020727081298828,-0.007057597359373835,0.575,1.0,0.5511469239900831,0.462253475189209,0.28363301645849737,0.67,0.99,0.0002926829491861254,2.8245643000009295
5,349.6726778157552,343.9361901855469,0.9191080414018838,1.0640604565302516,0.8761460494995117,0.11412843660130767,0.69,0.99,1.1651488612604333,1.0294804763793945,-0.023614013277749812,0.605,1.0,0.5446370660978742,0.45209264755249023,0.30045577629005094,0.66,0.985,0.0002886199901104373,3.0844336000009207
6,347.2288601345486,341.51133056640623,0.9138323018601108,1.0679186705293782,0.8777736854553223,0.10769256436239127,0.595,0.96,1.1483892189309068,1.008448715209961,0.005621773843626721,0.555,1.0,0.5415602515911924,0.439780216217041,0.30833731161212063,0.66,0.975,0.0002837054753661609,3.149971700000606
7,345.25745700412324,342.3686315917969,0.9180764726601378,1.0570774426344374,0.8494872093200684,0.12571754334971885,0.645,0.975,1.1509201349278855,1.0069194793701173,0.0012339566099774935,0.57,1.0,0.5548116883425261,0.46075609207153323,0.2740746051442289,0.635,0.975,0.00027796970457093673,2.967613099997834
8,342.93071614583334,338.2466296386719,0.9155542331316381,1.0758660310070232,0.873951187133789,0.09436219347439667,0.655,0.97,1.1487314608367836,1.0083208084106445,0.0050289981465269085,0.585,1.0,0.5402040463400185,0.44973360061645506,0.3117971742059845,0.68,0.99,0.0002714480406590546,3.0712550999996893
9,340.96943250868054,335.8496337890625,0.9110912028493813,1.0544657608341224,0.8526482009887695,0.13003232067359172,0.645,0.975,1.164206321075533,1.0275915145874024,-0.02195859028435443,0.595,1.0,0.5347553706387641,0.4263422679901123,0.3256100407025957,0.7,0.98,0.0002641806918572046,2.9722231999985524
10,338.98140516493055,334.7207019042969,0.9166457438075216,1.0819001993630633,0.8765818405151368,0.08417487300606219,0.645,0.965,1.152459077915364,1.005297966003418,-0.0014388120288357786,0.53,0.985,0.5367465393779262,0.44051639556884764,0.32057849061175836,0.69,0.98,0.0002562124637873888,3.040179999999964
11,337.9259019639757,335.55818603515627,0.9146957397135048,1.0519852716553522,0.8670024871826172,0.13412047100720315,0.655,0.98,1.1512952393497569,1.0126072311401366,0.0005828208813664082,0.61,1.0,0.5508032914749676,0.46214057922363283,0.28452602787423853,0.635,0.99,0.00024759248322536243,2.9565451000016765
12,335.6761537000868,332.6341857910156,0.9179151178217483,1.0719784344738708,0.8646714210510253,0.10089533653660587,0.625,0.935,1.1512643746504776,1.0091529846191407,0.0006364062626900147,0.55,1.0,0.5456900789616957,0.4373320198059082,0.29774813401077127,0.605,0.965,0.00023837389521772466,2.711923499999102
13,333.95224609375,330.35559448242185,0.90948246141811,1.0538934728075542,0.8477922630310059,0.13097637594844647,0.655,0.975,1.147911131765288,1.0063375091552735,0.006449542866230229,0.59,1.0,0.5412704936105588,0.42324301719665525,0.30907725206388825,0.665,0.96,0.00022861353542503427,2.8320177999994485
14,331.6780642361111,329.3315625,0.9091199610431175,1.0556138871343714,0.8503364753723145,0.12813680810971328,0.655,0.96,1.148480713738416,1.0058297729492187,0.005463318735891121,0.61,1.0,0.539227358169843,0.4296145248413086,0.3142834640862887,0.655,0.97,0.00021837157971106217,2.740338100000372
15,329.9388882107205,328.10637817382815,0.9080277961500327,1.054688946758267,0.845777587890625,0.12966401077502365,0.655,0.955,1.1465281281578863,1.003607864379883,0.008842160343427108,0.59,1.0,0.5387114777920846,0.4226478385925293,0.31559489046144285,0.7,0.975,0.00020771117313858086,2.8788712000023224
16,329.4514070638021,327.45881713867186,0.9102646084532594,1.0554226676769307,0.8465199661254883,0.12845264727880956,0.67,0.965,1.1483214027733624,1.0074812698364257,0.005739212980472641,0.6,1.0,0.5417088047167647,0.4255269718170166,0.3079578053755514,0.705,0.985,0.00019669804065905458,2.7354223000002094
17,327.2457784016927,327.9591357421875,0.9156540246567353,1.0637855023601979,0.8526515960693359,0.11458619745336107,0.63,0.95,1.149384806737918,1.0084085845947266,0.003896888318886127,0.595,1.0,0.5470001426292108,0.42532346725463865,0.29437222879400293,0.67,0.965,0.0001854000818964578,2.826723899997887
18,325.8548493109809,325.91461791992185,0.9118628095672524,1.0554137039795588,0.8481783103942871,0.12846745130714743,0.64,0.95,1.1480238479636056,1.0050039291381836,0.006254414993498658,0.59,1.0,0.5450678235469741,0.4219806671142578,0.2993487893892607,0.67,0.965,0.00017388695252351446,2.658479499998066
19,324.885465359158,325.1658032226562,0.9103135970992798,1.057859379731142,0.8508792877197265,0.1244236235180558,0.645,0.955,1.148932865767841,1.0049480056762696,0.00468007476443566,0.595,0.995,0.5400474153117596,0.43308247566223146,0.3121962022757493,0.68,0.98,0.00016222963481131276,2.730598900001496
20,325.2052994791667,324.69688598632814,0.9094853151351133,1.055041354123682,0.8467091369628906,0.12908229603247168,0.65,0.955,1.146684594420816,1.0004304122924805,0.008571616008092087,0.585,1.0,0.541320177422626,0.4427466773986816,0.3089504051292995,0.655,0.98,0.00015049999999999994,2.6359633000029135
21,323.84794392903643,323.64116333007814,0.9075269983743794,1.0524538340829857,0.8605583763122558,0.13334896026424647,0.67,0.97,1.1474076949083796,1.0036075592041016,0.007320830236628995,0.6,1.0,0.5384977970910595,0.439268798828125,0.31613772337159063,0.665,0.98,0.00013877036518868715,2.712684199999785
22,321.15546223958336,324.91371337890627,0.9104136695879307,1.0602980112018479,0.8571286773681641,0.12038212378180757,0.64,0.95,1.1448900554794519,0.9955010223388672,0.011672319860717373,0.59,0.995,0.5411681076718291,0.4313680171966553,0.3093386152246782,0.63,0.96,0.00012711304747648549,2.595190600000933
23,321.45294094509546,324.7343908691406,0.9153566738165472,1.068175329782639,0.85558837890625,0.10726360570256799,0.64,0.935,1.150015739664919,1.003986587524414,0.00280300445569992,0.58,1.0,0.5435104017622207,0.42524439811706544,0.30334700926561586,0.67,0.965,0.00011559991810354211,2.741086699999869
24,320.8612390136719,322.8986389160156,0.9094364741720568,1.058554560650293,0.8520456314086914,0.12327246108062706,0.64,0.95,1.1472525575417702,1.0019116973876954,0.00758924611344669,0.58,1.0,0.5388676122461175,0.4287807273864746,0.3151981114508019,0.67,0.985,0.00010430195934094532,2.635421499999211
25,318.5050069173177,324.1210827636719,0.9105430068056513,1.0554124389354929,0.847793254852295,0.12846954058534032,0.64,0.935,1.1475864126874982,1.000112190246582,0.007011570966639291,0.58,1.0,0.5426925198038254,0.42826454162597655,0.30544209780190645,0.65,0.965,9.328882686141905e-05,2.572063200001139
26,318.41447699652775,325.35073120117187,0.9118096230047018,1.055430185557962,0.8502776336669922,0.12844023099697777,0.65,0.935,1.145553501060297,0.9965579986572266,0.010526547630431038,0.575,0.995,0.5463756439477481,0.437141056060791,0.2959825101455428,0.62,0.96,8.262842028893772e-05,2.6033509000008053
27,317.5554208713108,324.2440185546875,0.9100569245425599,1.0511916891248505,0.8447042083740235,0.135426359418228,0.635,0.935,1.1475957201426157,1.0017808532714845,0.006995463712993977,0.59,0.995,0.5441557849927394,0.43361961364746093,0.3016915668068678,0.655,0.965,7.238646457496562e-05,2.6263006000008318
28,317.3612009006076,324.0897277832031,0.9111544438706892,1.0512002896452204,0.8480180740356446,0.13541221202017928,0.66,0.94,1.1429359582563203,0.9926772689819336,0.01504319413028965,0.575,0.99,0.5490208840488914,0.4430239486694336,0.28914910384699066,0.63,0.965,6.262610478227526e-05,2.6685934999986785
