epoch,train_loss,val_loss,selection_metric,h1_rmse,h1_mae,h1_r2,h1_coverage_1sigma,h1_coverage_2sigma,h2_rmse,h2_mae,h2_r2,h2_coverage_1sigma,h2_coverage_2sigma,Jz_rmse,Jz_mae,Jz_r2,Jz_coverage_1sigma,Jz_coverage_2sigma,learning_rate,elapsed_seconds
1,399.4613377549913,362.4525891113281,0.955680489980906,1.1125975491049827,0.9603239822387696,0.03146715969348024,0.58,1.0,1.168537336778885,1.0361940002441405,-0.029576400844085526,0.565,1.0,0.5874903576648055,0.4883696174621582,0.18604148310417223,0.505,0.895,0.0002995391413931026,8.800173800002085
2,359.6321169704861,353.21650268554686,0.9380000555902338,1.0745564277498214,0.9188878059387207,0.09656563579706978,0.57,0.98,1.16870727460968,1.0323485565185546,-0.029875880710076297,0.605,1.0,0.5741465578954883,0.4792384147644043,0.22259681297120792,0.57,0.99,0.00029815940691897306,2.6395626999983506
3,354.44476888020836,350.0345935058594,0.9273017935548955,1.065033671961647,0.8898307800292968,0.11250721641731909,0.665,0.985,1.1616304488444753,1.023535919189453,-0.01744131099953128,0.59,1.0,0.5624181052038022,0.4693942070007324,0.2540334192157634,0.595,0.97,0.00029586930309945264,2.9324417999996513
4,352.141373562283,346.950185546875,0.929558725451924,1.0772904591039352,0.8833715057373047,0.09196250823575236,0.68,0.98,1.16455783622732,1.0236088562011718,-0.02257581449145163,0.565,1.0,0.5581501086013416,0.44776201248168945,0.26531222581627845,0.665,0.975,0.0002926829491861254,2.926441200001136
5,348.91674831814237,344.5936608886719,0.918589423762444,1.058856272222349,0.8706279373168946,0.12277261619640345,0.64,0.98,1.1615513366047836,1.015647850036621,-0.01730273109227598,0.57,1.0,0.5486812647565067,0.4565069007873535,0.2900282835491198,0.63,0.985,0.0002886199901104373,3.1169564000010723
6,347.84388563368054,343.84043212890623,0.923207073341625,1.0651535467936397,0.8687836837768554,0.11230742172842001,0.645,0.965,1.1585056716457418,1.0132616806030272,-0.011974854267753132,0.575,1.0,0.5559955829472353,0.4426323890686035,0.2709732425747168,0.63,0.965,0.0002837054753661609,2.705091800002265
7,344.93375718858505,341.9377014160156,0.9233392723054009,1.0624309023660061,0.8695765113830567,0.11683969291216856,0.63,0.96,1.1730563056355847,1.031935920715332,-0.037554956359565184,0.595,1.0,0.5494474756825584,0.44859291076660157,0.28804400615586434,0.61,0.97,0.00027796970457093673,2.788929800000915
8,343.19222832573786,339.34630126953124,0.9162925174100828,1.057284093870407,0.8549227333068847,0.12537567774370606,0.65,0.955,1.1568627625678058,1.0101486206054688,-0.009106670126678873,0.545,1.0,0.547716367635303,0.4368660640716553,0.2925231648352773,0.64,0.955,0.0002714480406590546,2.956312500002241
9,341.08139065212674,338.076240234375,0.9233182913349772,1.076789927163702,0.870531005859375,0.09280609907636228,0.67,0.97,1.1583319977311226,1.0161652374267578,-0.011671462640162833,0.58,1.0,0.5495997012547066,0.43426342964172365,0.28764945371375616,0.65,0.965,0.0002641806918572046,3.1879358000005595
10,338.458037109375,336.7653479003906,0.9157072372105913,1.0482081064249598,0.8510740280151368,0.14032720912202656,0.625,0.96,1.1613592149439613,1.0215232849121094,-0.016966233305854006,0.575,1.0,0.5491997358739652,0.4440324878692627,0.2886858876298294,0.64,0.97,0.0002562124637873888,3.1078307000025234
11,337.81729899088543,334.28838989257815,0.9203803553347418,1.0738147855494218,0.8740240097045898,0.09781227824791172,0.67,0.965,1.1606584626911576,1.0209845733642577,-0.015739349548282267,0.575,1.0,0.544126673928299,0.44199007034301757,0.3017662805509643,0.645,0.975,0.00024759248322536243,3.0653700000002573
12,335.3292959255642,336.61110107421877,0.9243975142787457,1.0567214906671911,0.8390246963500977,0.12630624225080123,0.665,0.965,1.1571771976549057,1.0130612182617187,-0.00965529469101889,0.57,0.995,0.5639990435382498,0.4443434906005859,0.24983375111367923,0.61,0.97,0.00023837389521772466,2.9471194999969157
13,334.9050857204861,334.29011474609376,0.9205269180485649,1.050515910969091,0.8474650192260742,0.13653761664217345,0.68,0.955,1.1576827950870339,1.0104752731323243,-0.010537770850110428,0.58,1.0,0.559582770776454,0.4315275001525879,0.26153578566013236,0.675,0.94,0.00022861353542503427,3.0445567999995546
14,333.21818386501735,331.2096374511719,0.9126591448182823,1.038661150753211,0.8415104484558106,0.15591549279986505,0.63,0.94,1.1608775312047583,1.0213167953491211,-0.01612281723685216,0.6,1.0,0.5489189708092463,0.4302505874633789,0.28941298595399945,0.66,0.98,0.00021837157971106217,2.96716749999905
15,330.9564307996962,328.37180908203123,0.9063534322323598,1.0377587237118928,0.8430218887329102,0.1573815990014502,0.67,0.96,1.1581487458250148,1.014283103942871,-0.011351388499868387,0.57,1.0,0.5384558229876674,0.43628146171569826,0.31624432877406417,0.65,0.98,0.00020771117313858086,3.1423089999989315
16,329.687294514974,327.88933349609374,0.9150988805316747,1.0620780735376993,0.8643171501159668,0.11742618314773279,0.635,0.955,1.1602399452922898,1.0142936325073242,-0.015006958477621346,0.575,0.995,0.5406263935754708,0.42734347343444823,0.3107206395657319,0.665,0.955,0.00019669804065905458,3.0408743000007235
17,327.46269476996525,329.2491186523437,0.918724721131868,1.0461164316762483,0.8370239448547363,0.14375469984422762,0.66,0.965,1.1632839061944993,1.0152755355834961,-0.02033981129300222,0.58,1.0,0.5553068931180609,0.4334976577758789,0.27277815750284007,0.655,0.97,0.0001854000818964578,2.942700600000535
