snapshot_index,scheduled_utc,hours_from_first_snapshot,effective_h1,effective_h1_shot_sigma,effective_h2,effective_h2_shot_sigma
0,2026-07-31T15:42:00+00:00,0.0,-0.5605520349440442,0.11040619269841127,2.941007764540599,0.4334939334562719
1,2026-07-31T16:07:00+00:00,0.4166666666666667,0.0815264197241886,0.20349689487650172,2.2274895566938873,0.5931926484056389
2,2026-07-31T16:32:00+00:00,0.8333333333333334,0.9064458179725333,0.16982102933678794,3.584901707311356,0.28776611899385857
3,2026-07-31T16:57:00+00:00,1.25,0.9390461749198629,0.19060318265414217,3.0268469741679995,0.31761714339086544
4,2026-07-31T17:22:00+00:00,1.6666666666666667,0.7748654379341883,0.1776996225963151,3.2354893788052324,0.32383748108623533
5,2026-07-31T17:47:00+00:00,2.0833333333333335,0.6292786947709135,0.2079767496313956,2.896992381529567,0.3827988412576601
6,2026-07-31T18:12:00+00:00,2.5,0.6886387624435054,0.22376237847082803,3.5029461625978384,0.31206735937374347
7,2026-07-31T18:37:00+00:00,2.9166666666666665,-0.48518429763051335,0.13551299061050542,0.614048434834812,0.49053812761084287
8,2026-07-31T19:02:00+00:00,3.3333333333333335,0.8123332332517023,0.1887576245206885,3.060508978800394,0.2882411618191963
9,2026-07-31T19:27:00+00:00,3.75,0.9003410442126506,0.15979422242891145,2.675640127234733,0.2850355800949523
10,2026-07-31T19:52:00+00:00,4.166666666666667,0.6329372566584872,0.16153081400840535,3.120088640725878,0.30680598143237575
11,2026-07-31T20:17:00+00:00,4.583333333333333,0.6865447905293222,0.16621519136904842,2.9208358417984344,0.24335773587518258
12,2026-07-31T20:42:00+00:00,5.0,0.9674999060187484,0.17427271036466774,3.1268018188372895,0.4897577357897529
13,2026-07-31T21:07:00+00:00,5.416666666666667,0.802532069677914,0.23863623725279892,3.8540388973087825,0.47081359550949864
14,2026-07-31T21:32:00+00:00,5.833333333333333,0.45866609717668994,0.16466610333294068,-0.6949542965509508,0.41515039394062403
15,2026-07-31T21:57:00+00:00,6.25,0.24811131427688338,0.1886757451544668,3.330446137623183,0.3838189726789299
16,2026-07-31T22:22:00+00:00,6.666666666666667,0.8005158593879802,0.15462899647513664,-1.8400587851411476,0.3439165810108216
17,2026-07-31T22:47:00+00:00,7.083333333333333,0.7491951933532924,0.15487891395709272,3.121183177287014,0.27624692687501934
18,2026-07-31T23:12:00+00:00,7.5,0.6555711615764388,0.17728754184544485,2.6880316759580634,0.3159132477379026
19,2026-07-31T23:37:00+00:00,7.916666666666667,0.6789916997382743,0.1818148821470603,2.924030212898956,0.3596580310376714
20,2026-08-01T00:02:00+00:00,8.333333333333334,0.7115107096213301,0.15552190087098333,2.3416693595278306,0.41215259099631024
21,2026-08-01T00:27:00+00:00,8.75,1.1099916726852135,0.22242498028613442,-1.4553619158887063,0.2596214764545846
22,2026-08-01T00:52:00+00:00,9.166666666666666,0.9453967540929215,0.19751755261076098,-0.8527393714430214,0.4820391062848477
23,2026-08-01T01:17:00+00:00,9.583333333333334,0.915457643779899,0.14995908827005083,3.1331065690474054,0.48572790049673015
24,2026-08-01T01:42:00+00:00,10.0,-0.09086808034647402,0.17753656746084157,4.061403436067173,0.5301798956158794
25,2026-08-01T02:07:00+00:00,10.416666666666666,0.8559696341947669,0.15956994192921745,3.2273691880650013,0.5161895655359375
26,2026-08-01T02:32:00+00:00,10.833333333333334,0.8651273054975593,0.19519395178624596,3.3301196490655998,0.26713280976953085
27,2026-08-01T02:57:00+00:00,11.25,0.7461932120813981,0.22310871881380248,1.89499253996392,0.5384445170046164
28,2026-08-01T03:22:00+00:00,11.666666666666666,0.9157913398021537,0.1883757692387578,3.258586702254244,0.3497825874537539
29,2026-08-01T03:47:00+00:00,12.083333333333334,0.6946370927211795,0.15411969854687965,2.648408744100139,0.5488825348868216
30,2026-08-01T04:12:00+00:00,12.5,0.9855336168417211,0.19531239684971372,3.7844230510157475,0.5305747208349672
31,2026-08-01T04:37:00+00:00,12.916666666666666,0.16177100092633628,0.1753853898267808,3.0191699546043136,0.4043342162940918
