channel,interval_seconds,ou_point_residual_variance,ou_uncertainty_lower,ou_uncertainty_upper,nonparametric_residual_variance,no_sensing_process_variance,no_sensing_ci_lower,no_sensing_ci_upper
e1_readout_all_one,0.0021990977172849924,0.22240593618833807,0.2224059216637962,0.2224118660536413,0.22240592717940424,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.002279992116992594,0.2145149333196337,0.21451493762882545,0.21452109496100302,0.21451493762882545,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.00236386223890327,0.2069039171629007,0.2069039213544855,0.20691030518008774,0.2069039213544855,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.0024508175457568586,0.1995629385196635,0.1995629448702348,0.19956956352057073,0.1995629448702348,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.002540971526909469,0.19248243389849282,0.1924824271312292,0.19248928924390424,0.1924824271312292,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.0026344418464536246,0.18565312265355885,0.18565312639392118,0.18566024155984787,0.18565312702927028,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.002731350496787072,0.17906613178311248,0.17906612328774182,0.17907350756487325,0.17906613133181065,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.0028318239578306484,0.1727128493856628,0.17271284304888607,0.1727204906106223,0.17271284304888607,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.002935993362103023,0.16658497216818366,0.16658497021278962,0.1665928990834038,0.16658497021278962,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.0030439946658677537,0.16067451543420794,0.1606745134530412,0.16068273558295895,0.16067451505584496,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.0031559688265760492,0.1549737677412247,0.15497376357215248,0.1549822864836483,0.15497376357215248,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.003272061986836781,0.14947527803061167,0.14947527544968767,0.14948411186814883,0.14947527544968767,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.003392425665153911,0.14417188011926424,0.14417187435960827,0.14418103581658154,0.14417187435960827,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.0035172169536802334,0.13905664145450566,0.13905663683633376,0.1390661370413611,0.13905663859009867,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.0036465987232455425,0.13412288788248805,0.13412289083666973,0.13413273985359564,0.13412289201252683,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.003780739835926812,0.12936420071021423,0.12936419536812266,0.12937440545052234,0.12936419536812266,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.003919815365437847,0.12477434031819394,0.12477433213035172,0.12478492351146248,0.12477433786380601,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.004064006825625988,0.12034732447650015,0.12034732906619666,0.12035830409319175,0.12034732906619666,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.0042135024073741666,0.11607739329075016,0.11607738520742385,0.11608876981184232,0.11607739108322476,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.00436849722421745,0.11195895192046462,0.11195895102313899,0.11197074830240494,0.11195895102313899,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.00452919356699465,0.10798663192128517,0.10798662838206527,0.10799886494600598,0.10798663372107051,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.004695801167867388,0.10415525270892831,0.10415525472365836,0.10416793585550843,0.10415525472365836,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.004868537474051121,0.10045981478425078,0.10045981352258243,0.10047296110959145,0.10045981352258243,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.005047627931615492,0.09689548547743473,0.09689548583621838,0.09690911822725974,0.09689548702817052,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.005233306279724315,0.09345762573017663,0.09345762327456306,0.09347175587373453,0.09345762327456306,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.005425814855699272,0.09014173563568775,0.09014173534821923,0.09015638778954914,0.09014173534821923,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.0056254049113054734,0.08694349705527485,0.08694349553184033,0.08695868693560353,0.08694349553184033,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.005832336940671625,0.08385873023103328,0.08385872619738234,0.08387447984576357,0.08385872965606793,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.006046881020272869,0.08088341226737165,0.0808834116515839,0.08089974117979597,0.0808834116515839,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.006269317161419968,0.0780136588575243,0.07801365829450288,0.07803058846958712,0.07801365829450288,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.006499935675714897,0.07524572159341743,0.07524572413819881,0.07526327705225856,0.07524572413819881,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.006739037553949819,0.07257599736901618,0.07257599606992997,0.07259419518240981,0.072575996624951,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.0069869348589439795,0.07000098869767822,0.07000099047486764,0.07001985931862979,0.07000099137102914,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.00724395113283116,0.06751735023539195,0.06751734507081275,0.06753690957685632,0.06751734761906486,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.0075104218193293715,0.06512182247620973,0.06512182344046065,0.06514210534528726,0.06512182385177304,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.0077866947015438155,0.06281129336402748,0.062811293561299,0.0628323210545111,0.062811293561299,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.008073130355874552,0.06058274121837593,0.06058274116866993,0.06060454209892081,0.06058274116866993,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.008370102622621277,0.058433256748133156,0.058433258088024534,0.05845586090153843,0.058433258088024534,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.008677999093899469,0.05636003692057628,0.05636003741620701,0.05638347311950594,0.056360038930484135,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.008997221619504564,0.054360379646398366,0.05436037762019405,0.05438467398397667,0.05436037784271142,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.009328186831384578,0.052431666099761756,0.052431663544989834,0.05245685477000763,0.05243166497537704,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.009671326687405548,0.05057138424809453,0.05057138307692563,0.05059749939171369,0.05057138307692563,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.010027089035119533,0.04877710270175805,0.04877710408288515,0.048804181118443986,0.04877710420819551,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,0.010395938196270995,0.047046484752690645,0.04704648449520009,0.047074559407551446,0.047046486573603975,0.001946241867434051,0.0013059802689043675,0.003591581461102063
