channel,lag_hi_seconds,lag_lo_seconds,lag_mid_seconds,n_effective_points,n_pairs,sf_ci_lower,sf_ci_upper,sf_debiased,sf_raw,sf_standard_error,shot_floor,observation_count,variance_gate_p_value,variance_gate_passed
e1_readout_all_one,28.35047274653127,19.807200313568472,26.897000074386597,5,3,-2.0182177982810975e-05,1.852234100534578e-06,-9.1649719411382e-06,9.18656587600708e-06,5.621126780173051e-06,1.835153781714528e-05,30,2.7896884403053603e-289,True
e1_readout_all_one,58.08108599490925,40.578642727272346,50.39333327611288,6,3,-6.89114227602569e-06,8.832995778073051e-05,4.071940775235241e-05,5.8976312478383384e-05,2.4291543316062972e-05,1.8256904726030962e-05,30,2.7896884403053603e-289,True
e1_readout_all_one,83.13271030331475,58.08108599490925,69.96350002288818,4,2,2.0105490905483877e-05,0.0006524650183656494,0.0003362852546355666,0.0003551337867975235,0.00016131917026234583,1.884853216195684e-05,30,2.7896884403053603e-289,True
e1_readout_all_one,118.98964015549916,83.13271030331475,98.18407687774071,19,13,-0.0011070577936055474,0.018158199470519436,0.008525570838456944,0.008644378242584376,0.004914696753636005,0.00011880740412743119,30,2.7896884403053603e-289,True
e1_readout_all_one,170.31243673731922,118.98964015549916,144.2071666320165,9,6,-0.007407134481300816,0.02863708939171157,0.010614977455205376,0.010634067778786024,0.009195124032207893,1.9090323580648047e-05,30,2.7896884403053603e-289,True
e1_readout_all_one,243.77186173096283,170.31243673731922,192.95080001354216,18,10,-6.038880045526406e-05,0.0001266590081822836,3.3135103863509766e-05,0.00013793731729189515,4.7717154527572166e-05,0.0001048022134283854,30,2.7896884403053603e-289,True
e1_readout_all_one,348.9159201182305,243.77186173096283,292.3081999540329,16,10,-0.0036520271454859683,0.015702333732681387,0.00602515329359771,0.006087244260642263,0.004937427685108524,6.209096704455402e-05,30,2.7896884403053603e-289,True
e1_readout_all_one,499.4108772336965,348.9159201182305,413.5120000362396,7,5,4.724323778968674e-05,0.0006128948216716766,0.0003300690297306817,0.00034879595041275023,0.00014430152501366796,1.8726920682068514e-05,30,2.7896884403053603e-289,True
e1_readout_all_one,714.8175532226124,499.4108772336965,609.64969997406,13,10,-0.0017069015805355036,0.023323862706367673,0.010808480562916086,0.010842693886823124,0.006385516388143521,3.4213323907038614e-05,30,2.7896884403053603e-289,True
e1_readout_all_one,1023.1337715859554,714.8175532226124,898.1389374881983,21,32,-0.00013140397621108114,0.0166304628892171,0.008249529456503011,0.00830950907483283,0.004276065018960463,5.9979618329818916e-05,30,2.7896884403053603e-289,True
e1_readout_all_one,1464.433420584596,1023.1337715859554,1180.4405262846697,15,19,-6.257817094502171e-05,0.00015888228894867375,4.8152059001826024e-05,0.000112481524198376,5.649605340724302e-05,6.432946519654998e-05,30,2.7896884403053603e-289,True
e1_readout_all_one,2096.075120265868,1464.433420584596,1850.6168157803386,21,38,-0.0019498405053152987,0.004963605107961704,0.0015068823013232027,0.0015634730872180725,0.001763666492805322,5.6590785894870305e-05,30,2.7896884403053603e-289,True
e1_readout_all_one,3000.1574998497963,2096.075120265868,2600.7496086825495,26,46,-0.0007821635005850983,0.014312616382696495,0.006765226441055698,0.006834129366465812,0.003850779912882913,6.89029254101154e-05,30,2.7896884403053603e-289,True
