snapshot_index,scheduled_utc,hours_from_first_snapshot,readout_all_zero_error,readout_all_zero_shot_noise_floor,readout_all_one_error,readout_all_one_shot_noise_floor
0,2026-07-31T15:42:00+00:00,0.0,0.078125,0.008386505877596517,0.2001953125,0.012504575309264436
1,2026-07-31T16:07:00+00:00,0.4166666666666667,0.072265625,0.00809147557590506,0.162109375,0.011517222393326152
2,2026-07-31T16:32:00+00:00,0.8333333333333334,0.052734375,0.0069844596396828555,0.083984375,0.00866763690108679
3,2026-07-31T16:57:00+00:00,1.25,0.0908203125,0.008979794122246455,0.103515625,0.009519723582682587
4,2026-07-31T17:22:00+00:00,1.6666666666666667,0.0654296875,0.007727578673929491,0.1240234375,0.010300259044199844
5,2026-07-31T17:47:00+00:00,2.0833333333333335,0.091796875,0.009023093675280399,0.10546875,0.009598639469297723
6,2026-07-31T18:12:00+00:00,2.5,0.0712890625,0.008040846168005602,0.099609375,0.009358701844120158
7,2026-07-31T18:37:00+00:00,2.9166666666666665,0.08203125,0.008575385151212638,0.22265625,0.013000918099188763
8,2026-07-31T19:02:00+00:00,3.3333333333333335,0.0615234375,0.007508998777130339,0.095703125,0.00919323996212464
9,2026-07-31T19:27:00+00:00,3.75,0.0576171875,0.007281816448231325,0.0810546875,0.008528721301882992
10,2026-07-31T19:52:00+00:00,4.166666666666667,0.05859375,0.007339461677518268,0.095703125,0.00919323996212464
11,2026-07-31T20:17:00+00:00,4.583333333333333,0.0732421875,0.00814167576413214,0.0888671875,0.008892248340694155
12,2026-07-31T20:42:00+00:00,5.0,0.06640625,0.007780965102775043,0.1162109375,0.010014928091265257
13,2026-07-31T21:07:00+00:00,5.416666666666667,0.0712890625,0.008040846168005602,0.0927734375,0.00906608370922578
14,2026-07-31T21:32:00+00:00,5.833333333333333,0.060546875,0.007453039892578437,0.130859375,0.010538952995845554
15,2026-07-31T21:57:00+00:00,6.25,0.056640625,0.007223582297624637,0.1513671875,0.011200200631588341
16,2026-07-31T22:22:00+00:00,6.666666666666667,0.0771484375,0.008338338372116985,0.1015625,0.00943975338338926
17,2026-07-31T22:47:00+00:00,7.083333333333333,0.0595703125,0.007396531754858966,0.1123046875,0.009866904546889517
18,2026-07-31T23:12:00+00:00,7.5,0.0712890625,0.008040846168005602,0.1083984375,0.009715092571831544
19,2026-07-31T23:37:00+00:00,7.916666666666667,0.072265625,0.00809147557590506,0.0859375,0.00875849175520122
20,2026-08-01T00:02:00+00:00,8.333333333333334,0.044921875,0.006472892706263649,0.107421875,0.009676526838274165
21,2026-08-01T00:27:00+00:00,8.75,0.0478515625,0.006670377500730711,0.1142578125,0.009941379194841124
22,2026-08-01T00:52:00+00:00,9.166666666666666,0.0654296875,0.007727578673929491,0.09765625,0.009276540621075845
23,2026-08-01T01:17:00+00:00,9.583333333333334,0.0595703125,0.007396531754858966,0.1318359375,0.010572259871592103
24,2026-08-01T01:42:00+00:00,10.0,0.0634765625,0.007619317074952049,0.140625,0.010863572002581538
25,2026-08-01T02:07:00+00:00,10.416666666666666,0.0625,0.007564420598061361,0.0869140625,0.008803408887847199
26,2026-08-01T02:32:00+00:00,10.833333333333334,0.0712890625,0.008040846168005602,0.09375,0.009108768606532047
27,2026-08-01T02:57:00+00:00,11.25,0.0673828125,0.007833868843316626,0.0732421875,0.00814167576413214
28,2026-08-01T03:22:00+00:00,11.666666666666666,0.072265625,0.00809147557590506,0.11328125,0.009904258888937582
29,2026-08-01T03:47:00+00:00,12.083333333333334,0.0712890625,0.008040846168005602,0.103515625,0.009519723582682587
30,2026-08-01T04:12:00+00:00,12.5,0.06640625,0.007780965102775043,0.09765625,0.009276540621075845
31,2026-08-01T04:37:00+00:00,12.916666666666666,0.0654296875,0.007727578673929491,0.1357421875,0.010703581013675894
32,2026-08-01T05:02:00+00:00,13.333333333333334,0.064453125,0.007673699482504346,0.2744140625,0.013944329352677505
33,2026-08-01T05:27:00+00:00,13.75,0.0859375,0.00875849175520122,0.1171875,0.010051361743280713
34,2026-08-03T04:32:00+00:00,60.833333333333336,0.0947265625,0.009151152637064317,0.09375,0.009108768606532047
35,2026-08-03T04:57:00+00:00,61.25,0.091796875,0.009023093675280399,0.115234375,0.009978268076524683
36,2026-08-03T05:22:00+00:00,61.666666666666664,0.0927734375,0.00906608370922578,0.0986328125,0.009317761768438746
37,2026-08-03T05:47:00+00:00,62.083333333333336,0.08984375,0.008936180550874607,0.083984375,0.00866763690108679
38,2026-08-03T06:12:00+00:00,62.5,0.0927734375,0.00906608370922578,0.0771484375,0.008338338372116985
39,2026-08-03T06:37:00+00:00,62.916666666666664,0.0986328125,0.009317761768438746,0.0791015625,0.00843428789032329
40,2026-08-03T07:02:00+00:00,63.333333333333336,0.0986328125,0.009317761768438746,0.185546875,0.012148142869326518
41,2026-08-03T07:27:00+00:00,63.75,0.0849609375,0.00871323619329117,0.087890625,0.00884799274537322
42,2026-08-03T07:52:00+00:00,64.16666666666667,0.0927734375,0.00906608370922578,0.185546875,0.012148142869326518
43,2026-08-03T08:17:00+00:00,64.58333333333333,0.09765625,0.009276540621075845,0.1220703125,0.010230218683997639
44,2026-08-03T08:42:00+00:00,65.0,0.078125,0.008386505877596517,0.076171875,0.008289778654205849
45,2026-08-03T09:07:00+00:00,65.41666666666667,0.095703125,0.00919323996212464,0.08984375,0.008936180550874607
46,2026-08-03T09:32:00+00:00,65.83333333333333,0.0927734375,0.00906608370922578,0.0859375,0.00875849175520122
47,2026-08-03T09:57:00+00:00,66.25,0.0927734375,0.00906608370922578,0.08203125,0.008575385151212638
48,2026-08-03T10:22:00+00:00,66.66666666666667,0.10546875,0.009598639469297723,0.0732421875,0.00814167576413214
49,2026-08-03T10:47:00+00:00,67.08333333333333,0.1044921875,0.009559311674942717,0.1396484375,0.01083193481875615
50,2026-08-03T11:12:00+00:00,67.5,0.0859375,0.00875849175520122,0.1533203125,0.011259249421434997
51,2026-08-03T11:37:00+00:00,67.91666666666667,0.08984375,0.008936180550874607,0.1708984375,0.0117631310255176
52,2026-08-03T12:02:00+00:00,68.33333333333333,0.0869140625,0.008803408887847199,0.080078125,0.008481690925375554
53,2026-08-03T12:27:00+00:00,68.75,0.09375,0.009108768606532047,0.0791015625,0.00843428789032329
54,2026-08-03T12:52:00+00:00,69.16666666666667,0.09765625,0.009276540621075845,0.080078125,0.008481690925375554
55,2026-08-03T13:17:00+00:00,69.58333333333333,0.08203125,0.008575385151212638,0.0712890625,0.008040846168005602
56,2026-08-03T13:42:00+00:00,70.0,0.08984375,0.008936180550874607,0.103515625,0.009519723582682587
57,2026-08-03T14:07:00+00:00,70.41666666666667,0.091796875,0.009023093675280399,0.1162109375,0.010014928091265257
58,2026-08-03T14:32:00+00:00,70.83333333333333,0.10546875,0.009598639469297723,0.181640625,0.012048376947131319
59,2026-08-03T14:57:00+00:00,71.25,0.076171875,0.008289778654205849,0.0732421875,0.00814167576413214
60,2026-08-03T15:22:00+00:00,71.66666666666667,0.111328125,0.009829313500474474,0.09765625,0.009276540621075845
61,2026-08-03T15:47:00+00:00,72.08333333333333,0.0908203125,0.008979794122246455,0.083984375,0.00866763690108679
62,2026-08-03T16:12:00+00:00,72.5,0.1064453125,0.009637710152275526,0.0986328125,0.009317761768438746
63,2026-08-03T16:37:00+00:00,72.91666666666667,0.08203125,0.008575385151212638,0.0859375,0.00875849175520122
64,2026-08-03T17:02:00+00:00,73.33333333333333,0.0869140625,0.008803408887847199,0.076171875,0.008289778654205849
65,2026-08-03T17:27:00+00:00,73.75,0.0830078125,0.008621688424719049,0.078125,0.008386505877596517
66,2026-08-03T17:52:00+00:00,74.16666666666667,0.0966796875,0.0092350346382898,0.0888671875,0.008892248340694155
67,2026-08-03T18:17:00+00:00,74.58333333333333,0.1015625,0.00943975338338926,0.1611328125,0.011489169034926975
68,2026-08-03T18:42:00+00:00,75.0,0.091796875,0.009023093675280399,0.08203125,0.008575385151212638
69,2026-08-03T19:07:00+00:00,75.41666666666667,0.0869140625,0.008803408887847199,0.09375,0.009108768606532047
70,2026-08-03T19:32:00+00:00,75.83333333333333,0.0771484375,0.008338338372116985,0.0830078125,0.008621688424719049
71,2026-08-03T19:57:00+00:00,76.25,0.0859375,0.00875849175520122,0.0908203125,0.008979794122246455
72,2026-08-03T20:22:00+00:00,76.66666666666667,0.08984375,0.008936180550874607,0.0869140625,0.008803408887847199
73,2026-08-03T20:47:00+00:00,77.08333333333333,0.0947265625,0.009151152637064317,0.169921875,0.011736379713763068
74,2026-08-03T21:12:00+00:00,77.5,0.09765625,0.009276540621075845,0.19921875,0.012481652145516524
75,2026-08-03T21:37:00+00:00,77.91666666666667,0.08203125,0.008575385151212638,0.095703125,0.00919323996212464
76,2026-08-03T22:02:00+00:00,78.33333333333333,0.0908203125,0.008979794122246455,0.0859375,0.00875849175520122
77,2026-08-03T22:27:00+00:00,78.75,0.1142578125,0.009941379194841124,0.0947265625,0.009151152637064317
