channel,interval_seconds,ou_point_residual_variance,ou_uncertainty_lower,ou_uncertainty_upper,nonparametric_residual_variance,no_sensing_process_variance,no_sensing_ci_lower,no_sensing_ci_upper,grid_index,log10_ou_point_residual_variance,log10_nonparametric_residual_variance,log10_no_sensing_process_variance,is_ou_grid_minimum,is_nonparametric_grid_minimum
e1_readout_all_one,0.0021990977172849924,0.22240593618833807,0.2224059216637962,0.2224118660536413,0.22240592717940424,0.001946241867434051,0.0013059802689043675,0.003591581461102063,1,-0.6528536252759815,-0.6528536428678244,-2.710803189162883,False,False
e1_readout_all_one,0.002279992116992594,0.2145149333196337,0.21451493762882545,0.21452109496100302,0.21451493762882545,0.001946241867434051,0.0013059802689043675,0.003591581461102063,2,-0.6685424692947923,-0.6685424605706529,-2.710803189162883,False,False
e1_readout_all_one,0.00236386223890327,0.2069039171629007,0.2069039213544855,0.20691030518008774,0.2069039213544855,0.001946241867434051,0.0013059802689043675,0.003591581461102063,3,-0.6842312870716817,-0.6842312782734813,-2.710803189162883,False,False
e1_readout_all_one,0.0024508175457568586,0.1995629385196635,0.1995629448702348,0.19956956352057073,0.1995629448702348,0.001946241867434051,0.0013059802689043675,0.003591581461102063,4,-0.699920109796601,-0.6999200959763093,-2.710803189162883,False,False
e1_readout_all_one,0.002540971526909469,0.19248243389849282,0.1924824271312292,0.19248928924390424,0.1924824271312292,0.001946241867434051,0.0013059802689043675,0.003591581461102063,5,-0.7156088984102884,-0.7156089136791378,-2.710803189162883,False,False
e1_readout_all_one,0.0026344418464536246,0.18565312265355885,0.18565312639392118,0.18566024155984787,0.18565312702927028,0.001946241867434051,0.0013059802689043675,0.003591581461102063,6,-0.7312977416179768,-0.7312977313819663,-2.710803189162883,False,False
e1_readout_all_one,0.002731350496787072,0.17906613178311248,0.17906612328774182,0.17907350756487325,0.17906613133181065,0.001946241867434051,0.0013059802689043675,0.003591581461102063,7,-0.7469865479902389,-0.7469865490847948,-2.710803189162883,False,False
e1_readout_all_one,0.0028318239578306484,0.1727128493856628,0.17271284304888607,0.1727204906106223,0.17271284304888607,0.001946241867434051,0.0013059802689043675,0.003591581461102063,8,-0.7626753508535036,-0.7626753667876233,-2.710803189162883,False,False
e1_readout_all_one,0.002935993362103023,0.16658497216818366,0.16658497021278962,0.1665928990834038,0.16658497021278962,0.001946241867434051,0.0013059802689043675,0.003591581461102063,9,-0.7783641793926519,-0.7783641844904517,-2.710803189162883,False,False
e1_readout_all_one,0.0030439946658677537,0.16067451543420794,0.1606745134530412,0.16068273558295895,0.16067451505584496,0.001946241867434051,0.0013059802689043675,0.003591581461102063,10,-0.7940530011705852,-0.7940530021932798,-2.710803189162883,False,False
e1_readout_all_one,0.0031559688265760492,0.1549737677412247,0.15497376357215248,0.1549822864836483,0.15497376357215248,0.001946241867434051,0.0013059802689043675,0.003591581461102063,11,-0.8097418082128078,-0.8097418198961083,-2.710803189162883,False,False
