snapshot_index,scheduled_utc,hours_from_first_snapshot,readout_all_zero_error,readout_all_zero_shot_noise_floor,readout_all_one_error,readout_all_one_shot_noise_floor,heatmap_column,readout_all_zero_zscore,readout_all_one_zscore
0,2026-07-31T15:42:00+00:00,0.0,0.078125,0.008386505877596517,0.2001953125,0.012504575309264436,1,-0.22789386524086447,2.2528424342524938
1,2026-07-31T16:07:00+00:00,0.4166666666666667,0.072265625,0.00809147557590506,0.162109375,0.011517222393326152,2,-0.6021195807942834,1.2867941279378496
2,2026-07-31T16:32:00+00:00,0.8333333333333334,0.052734375,0.0069844596396828555,0.083984375,0.00866763690108679,3,-1.8495386326390129,-0.6948434234768055
3,2026-07-31T16:57:00+00:00,1.25,0.0908203125,0.008979794122246455,0.103515625,0.009519723582682587,4,0.5829285184582098,-0.19943403562314174
4,2026-07-31T17:22:00+00:00,1.6666666666666667,0.0654296875,0.007727578673929491,0.1240234375,0.010300259044199844,5,-1.0387162489399386,0.3207458216232052
5,2026-07-31T17:47:00+00:00,2.0833333333333335,0.091796875,0.009023093675280399,0.10546875,0.009598639469297723,6,0.6452994710504463,-0.14989309683777535
6,2026-07-31T18:12:00+00:00,2.5,0.0712890625,0.008040846168005602,0.099609375,0.009358701844120158,7,-0.6644905333865199,-0.2985159131938745
7,2026-07-31T18:37:00+00:00,2.9166666666666665,0.08203125,0.008575385151212638,0.22265625,0.013000918099188763,8,0.02158994512808145,2.8225632302842074
8,2026-07-31T19:02:00+00:00,3.3333333333333335,0.0615234375,0.007508998777130339,0.095703125,0.00919323996212464,9,-1.2882000593088847,-0.3975977907646073
9,2026-07-31T19:27:00+00:00,3.75,0.0576171875,0.007281816448231325,0.0810546875,0.008528721301882992,10,-1.5376838696778306,-0.7691548316548551
10,2026-07-31T19:52:00+00:00,4.166666666666667,0.05859375,0.007339461677518268,0.095703125,0.00919323996212464,11,-1.475312917085594,-0.3975977907646073
11,2026-07-31T20:17:00+00:00,4.583333333333333,0.0732421875,0.00814167576413214,0.0888671875,0.008892248340694155,12,-0.5397486282020468,-0.5709910765133895
12,2026-07-31T20:42:00+00:00,5.0,0.06640625,0.007780965102775043,0.1162109375,0.010014928091265257,13,-0.9763452963477023,0.12258206648173971
13,2026-07-31T21:07:00+00:00,5.416666666666667,0.0712890625,0.008040846168005602,0.0927734375,0.00906608370922578,14,-0.6644905333865199,-0.4719091989426568
14,2026-07-31T21:32:00+00:00,5.833333333333333,0.060546875,0.007453039892578437,0.130859375,0.010538952995845554,15,-1.3505710119011212,0.4941391073719875
15,2026-07-31T21:57:00+00:00,6.25,0.056640625,0.007223582297624637,0.1513671875,0.011200200631588341,16,-1.600054822270067,1.0143189646183346
16,2026-07-31T22:22:00+00:00,6.666666666666667,0.0771484375,0.008338338372116985,0.1015625,0.00943975338338926,17,-0.29026481783310093,-0.24897497440850813
17,2026-07-31T22:47:00+00:00,7.083333333333333,0.0595703125,0.007396531754858966,0.1123046875,0.009866904546889517,18,-1.4129419644933576,0.023500188911006956
18,2026-07-31T23:12:00+00:00,7.5,0.0712890625,0.008040846168005602,0.1083984375,0.009715092571831544,19,-0.6644905333865199,-0.0755816886597258
19,2026-07-31T23:37:00+00:00,7.916666666666667,0.072265625,0.00809147557590506,0.0859375,0.00875849175520122,20,-0.6021195807942834,-0.6453024846914391
20,2026-08-01T00:02:00+00:00,8.333333333333334,0.044921875,0.006472892706263649,0.107421875,0.009676526838274165,21,-2.3485062533769048,-0.10035215805240899
21,2026-08-01T00:27:00+00:00,8.75,0.0478515625,0.006670377500730711,0.1142578125,0.009941379194841124,22,-2.161393395600195,0.07304112769637333
22,2026-08-01T00:52:00+00:00,9.166666666666666,0.0654296875,0.007727578673929491,0.09765625,0.009276540621075845,23,-1.0387162489399386,-0.34805685197924086
23,2026-08-01T01:17:00+00:00,9.583333333333334,0.0595703125,0.007396531754858966,0.1318359375,0.010572259871592103,24,-1.4129419644933576,0.5189095767646708
24,2026-08-01T01:42:00+00:00,10.0,0.0634765625,0.007619317074952049,0.140625,0.010863572002581538,25,-1.1634581541244118,0.7418438012988194
25,2026-08-01T02:07:00+00:00,10.416666666666666,0.0625,0.007564420598061361,0.0869140625,0.008803408887847199,26,-1.2258291067166482,-0.6205320152987559
26,2026-08-01T02:32:00+00:00,10.833333333333334,0.0712890625,0.008040846168005602,0.09375,0.009108768606532047,27,-0.6644905333865199,-0.44713872954997363
