channel,lag_hi_seconds,lag_lo_seconds,lag_mid_seconds,n_effective_points,n_pairs,sf_ci_lower,sf_ci_upper,sf_debiased,sf_raw,sf_standard_error,shot_floor,observation_count,variance_gate_p_value,variance_gate_passed
e0_readout_all_zero,28.35047274653127,19.807200313568472,26.897000074386597,5,3,-7.190780072182326e-06,-5.918736705163286e-07,-3.8913268713493275e-06,3.351519505182902e-06,1.683425423558119e-06,7.24284637653223e-06,30,0.6496799297291755,False
e0_readout_all_zero,58.08108599490925,40.578642727272346,50.39333327611288,6,3,-4.399536496834165e-06,2.4965894807018057e-06,-9.514735080661796e-07,6.388872861862183e-06,1.759248137193268e-06,7.3403463699283615e-06,30,0.6496799297291755,False
e0_readout_all_zero,83.13271030331475,58.08108599490925,69.96350002288818,4,2,-8.46857936953677e-06,-1.5721478432600274e-06,-5.020363606398398e-06,2.348795533180237e-06,1.759326084732912e-06,7.369159139578635e-06,30,0.6496799297291755,False
e0_readout_all_zero,118.98964015549916,83.13271030331475,98.18407687774071,19,13,-9.61476199190712e-05,0.0001259010841639115,1.4876732122420156e-05,0.00012922344299463076,5.664611845790906e-05,0.0001143467108722106,30,0.6496799297291755,False
e0_readout_all_zero,170.31243673731922,118.98964015549916,144.2071666320165,9,6,-2.4673072225150464e-05,7.672764100863824e-05,2.602728439174389e-05,3.329043587048849e-05,2.586800421681842e-05,7.263151478744595e-06,30,0.6496799297291755,False
e0_readout_all_zero,243.77186173096283,170.31243673731922,192.95080001354216,18,10,-8.52194466978836e-05,-1.4977536371696857e-05,-5.0098491534790227e-05,5.013855795065523e-05,1.791918394425764e-05,0.00010023704948544545,30,0.6496799297291755,False
e0_readout_all_zero,348.9159201182305,243.77186173096283,292.3081999540329,16,10,-7.294358857502559e-05,2.6564949979157423e-05,-2.318931929793408e-05,3.052200708124371e-05,2.5385297724624958e-05,5.371132637917779e-05,30,0.6496799297291755,False
e0_readout_all_zero,499.4108772336965,348.9159201182305,413.5120000362396,7,5,-6.8443278017543966e-06,2.6291411517409666e-05,9.723541857827635e-06,1.719146966934204e-05,8.453150052892438e-06,7.467927811514405e-06,30,0.6496799297291755,False
e0_readout_all_zero,714.8175532226124,499.4108772336965,609.64969997406,13,10,1.2700464075801276e-05,0.00010787283039215533,6.0286647233978305e-05,8.31558472580379e-05,2.427911101098325e-05,2.2869200024059593e-05,30,0.6496799297291755,False
e0_readout_all_zero,1023.1337715859554,714.8175532226124,898.1389374881983,21,32,-3.0802541821591344e-05,3.1823804687827856e-05,5.106314331182541e-07,5.129077989194129e-05,1.5976402373566003e-05,5.078014845882304e-05,30,0.6496799297291755,False
e0_readout_all_zero,1464.433420584596,1023.1337715859554,1180.4405262846697,15,19,-7.719264082847193e-05,2.2361169482409374e-07,-3.848451456682392e-05,1.787581638983124e-05,1.9749406911031413e-05,5.636033095665515e-05,30,0.6496799297291755,False
e0_readout_all_zero,2096.075120265868,1464.433420584596,1850.6168157803386,21,38,-4.2409019461613744e-05,2.7949112420858626e-05,-7.22995352037756e-06,4.084439871952536e-05,1.794883284525847e-05,4.8074352239902916e-05,30,0.6496799297291755,False
e0_readout_all_zero,3000.1574998497963,2096.075120265868,2600.7496086825495,26,46,-3.1759664405274916e-05,6.1454908000347e-05,1.4847621797536046e-05,7.595284729476116e-05,2.3779664611412908e-05,6.11052254972251e-05,30,0.6496799297291755,False
