pair_index,analysis_pair_id,block_order,fast_endpoint_squared_residual,slow_endpoint_squared_residual,fast_better,log2_slow_over_fast,cumulative_fast_over_slow_ratio,leave_one_pair_out_ratio
1,hardware::session00-cyclepair00,fast_then_slow,5.701736442801238e-05,0.001980607182636108,True,5.1183976124381525,0.028787820688464114,0.380228202777295
2,hardware::session00-cyclepair01,fast_then_slow,0.0014767273072600982,0.003994457492010009,True,1.4355961341996109,0.25669089042604365,0.36068980278685503
3,hardware::session00-cyclepair02,fast_then_slow,0.00038477917470929344,1.5412048119313243e-05,False,-4.641900218064198,0.3202622988428442,0.35152439902546634
4,hardware::session00-cyclepair03,fast_then_slow,0.0010868070490512194,5.705309490343397e-05,False,-4.251646868721673,0.4969518110796328,0.3331495549477207
5,hardware::session00-cyclepair04,fast_then_slow,0.0014437118194602393,0.0015873150409837096,True,0.13680570086283358,0.5827286339507948,0.3374111330105123
6,hardware::session00-cyclepair05,fast_then_slow,0.0011044304514260667,0.0002464170970656166,False,-2.164128309075141,0.7046426317939665,0.33437102755523324
7,hardware::session00-cyclepair06,fast_then_slow,0.0002777483062664829,0.0007020305409278788,True,1.3377556805107245,0.6793688406727335,0.361000815555004
8,hardware::session00-cyclepair07,fast_then_slow,0.000584445213693788,0.004314089211335868,True,2.883916313434887,0.49743946729316924,0.39108199678229405
9,hardware::session00-cyclepair08,fast_then_slow,0.00028970624331132425,0.003028891251517439,True,3.3861271000950692,0.4210258700612714,0.3850455814713578
10,hardware::session00-cyclepair09,fast_then_slow,5.513303280336998e-06,0.0009377249157008984,True,7.410103991271461,0.39794159620689373,0.3707827563278781
11,hardware::session00-cyclepair10,fast_then_slow,0.0004411860628298636,0.003256134485810089,True,2.8837011657528158,0.35546845156825657,0.38317535610316716
12,hardware::session00-cyclepair11,fast_then_slow,0.0003939919330273264,0.00011764906158877977,False,-1.743676277693916,0.3728701319166094,0.35223998067769885
13,hardware::session00-cyclepair12,fast_then_slow,0.00040920156019632654,0.0011305407674718556,True,1.4661294659418522,0.3722924859602158,0.3616403853534648
14,hardware::session00-cyclepair13,fast_then_slow,0.0009871563437137219,0.0018119546320048503,True,0.8761963345689203,0.38577719331365967,0.3523420087861529
15,hardware::session00-cyclepair14,fast_then_slow,0.0006658010490432315,0.000284090174024905,False,-1.228742210461492,0.40948145685302306,0.3465065504725494
16,hardware::session00-cyclepair15,fast_then_slow,4.2594013136887424e-05,0.0007438530102615666,True,4.126294994729147,0.39865868668980303,0.36781549993246915
17,hardware::session00-cyclepair16,fast_then_slow,0.00014394506040925456,0.0011805470515103885,True,3.0358653546897894,0.3857911742195551,0.36944897038380997
18,hardware::session00-cyclepair17,fast_then_slow,0.0015872415577923682,0.0030284861196125897,True,0.9320750945866344,0.40053145678603747,0.34736347534060985
19,hardware::session00-cyclepair18,fast_then_slow,0.0021158632729857646,0.0007816616050892669,False,-1.4366303235469808,0.46227290248735237,0.31167865748342566
20,hardware::session00-cyclepair19,fast_then_slow,5.183117087376921e-05,0.008267436997419074,True,7.317476351290926,0.36164979009594067,0.46227290248735237
