epoch,train_loss,val_loss,selection_metric,h1_rmse,h1_mae,h1_r2,h1_coverage_1sigma,h1_coverage_2sigma,h2_rmse,h2_mae,h2_r2,h2_coverage_1sigma,h2_coverage_2sigma,Jz_rmse,Jz_mae,Jz_r2,Jz_coverage_1sigma,Jz_coverage_2sigma,learning_rate,elapsed_seconds
23,321.6866963704427,325.8942761230469,0.9132066909699489,1.0440761399255871,0.8374546241760253,0.1470913965055336,0.64,0.945,1.1575467318170494,1.0051679229736328,-0.010300246384748135,0.57,0.99,0.5488023028289258,0.4302252960205078,0.28971501210374984,0.685,0.96,0.00011559991810354211,2.6302926999997
24,321.20891737196183,325.00504028320313,0.9040650306170992,1.021971531779422,0.8241545104980469,0.18282372450121298,0.66,0.975,1.1500643173144538,0.9965775680541992,0.0027187577665443996,0.585,0.99,0.5476703027073216,0.4441204071044922,0.2926421625535236,0.59,0.965,0.00010430195934094532,2.6912083999995957
25,319.93167385525174,326.19377685546874,0.9091164422258348,1.0252243540787982,0.8267169189453125,0.17761348254388476,0.64,0.95,1.1532457738137765,0.999909896850586,-0.002806490441038978,0.57,0.99,0.5540182024723144,0.4346906089782715,0.27614954211076914,0.645,0.945,9.328882686141905e-05,2.6888233999998192
26,318.37405585394964,324.81024291992185,0.9055066703626039,1.0306543467954516,0.8276688385009766,0.1688790461308579,0.65,0.96,1.1486991324800628,0.9961985778808594,0.005084999615897257,0.58,0.985,0.546315108201055,0.4419232749938965,0.2961385048863774,0.62,0.965,8.262842028893772e-05,2.7763778999978967
27,317.2850283474392,324.3581433105469,0.9027936196373659,1.0287311471576643,0.8267346572875977,0.1719778933933237,0.64,0.96,1.147449950080374,0.9965231323242187,0.0072477148102605415,0.585,0.99,0.5427426620823746,0.43704751968383787,0.3053137439977046,0.62,0.97,7.238646457496562e-05,2.625171499999851
28,317.3435617404514,326.9822570800781,0.9084571313533178,1.0375290832120043,0.8311046981811523,0.15775447546521126,0.635,0.945,1.1476646594420457,0.9941067504882812,0.006876154984207017,0.575,0.985,0.5488175773285823,0.4438191986083984,0.2896754736443514,0.61,0.965,6.262610478227526e-05,2.6872452999996312
29,317.0267702907986,324.7669934082031,0.9027621793124939,1.0243740124142013,0.8242070579528809,0.17897712457352632,0.65,0.97,1.1463124072475905,0.9940183639526368,0.009215100791221675,0.58,0.995,0.5458506991509214,0.4385013008117676,0.29733466698143096,0.61,0.97,5.340751677463754e-05,2.752251800000522
30,316.58923082139756,323.8566467285156,0.9047452319462321,1.0284435393284483,0.8305488014221192,0.17244081774719655,0.64,0.965,1.1490588773909445,1.0015933990478516,0.004461735188683091,0.58,0.995,0.5458678819433815,0.44277315139770507,0.2972904279884635,0.6,0.965,4.4787536212611134e-05,2.6979695000009087
31,316.1740869140625,328.7765686035156,0.9081997333119048,1.033654275911136,0.829069709777832,0.16403371153332658,0.64,0.96,1.1485690128515198,0.9991435241699219,0.005310386115119581,0.565,0.995,0.5500208417238082,0.44382439613342284,0.28655733309377496,0.61,0.96,3.681930814279536e-05,2.623376699997607
32,316.1508078342014,327.12847900390625,0.9053198723728489,1.0326618309753297,0.8282442092895508,0.16563821749177232,0.645,0.955,1.1489815888021226,0.9994917678833007,0.0045956554975625785,0.565,0.99,0.5446215430205367,0.4387179374694824,0.30049565210831797,0.625,0.955,2.955195934094536e-05,2.629130900000746
